Lifestage,Rep,HPF,Development,compound,norm_counts,log_norm_counts
Recruit1plug,rep1,183 recruit plug,Calcifying Recruit,Adenosine,328.73405926760887,2.5181638091025422
Recruit1plug,rep2,183 recruit plug,Calcifying Recruit,Adenosine,607.2776298479029,2.7841018450470796
Recruit1plug,rep3,183 recruit plug,Calcifying Recruit,Adenosine,116.90134370125065,2.0715187547024945
Recruit1plug,rep4,183 recruit plug,Calcifying Recruit,Adenosine,211.80415193503154,2.3279800970482123
Recruit2,rep1,231 recruit,Metamorphosed Recruit,Adenosine,66.45919120130588,1.8290411299318143
Recruit2,rep2,231 recruit,Metamorphosed Recruit,Adenosine,67.90791435216971,1.8382691052469837
Recruit2,rep3,231 recruit,Metamorphosed Recruit,Adenosine,74.46224176834234,1.8777297027091244
Recruit2,rep4,231 recruit,Metamorphosed Recruit,Adenosine,49.03787203846115,1.6992988321643745
Recruit2plug,rep1,231 recruit plug,Calcifying Recruit,Adenosine,118.45468556227699,2.077203189447401
Recruit2plug,rep2,231 recruit plug,Calcifying Recruit,Adenosine,256.80192409162487,2.4112861543643858
Recruit2plug,rep3,231 recruit plug,Calcifying Recruit,Adenosine,124.99659267244452,2.1003588006448317
Recruit2plug,rep4,231 recruit plug,Calcifying Recruit,Adenosine,201.46356344930965,2.306346876356973
Recruit2plug,rep5,231 recruit plug,Calcifying Recruit,Adenosine,155.87237795089342,2.195546479854755
Recruit3plug,rep1,255 recruit plug,Calcifying Recruit,Adenosine,170.01131126452842,2.2330248370430454
Recruit3plug,rep2,255 recruit plug,Calcifying Recruit,Adenosine,207.21163753084247,2.318504999786337
Recruit3plug,rep3,255 recruit plug,Calcifying Recruit,Adenosine,213.75523910867494,2.3319437675590815
