"","Gene","module"
"g28936","g28936",1
"g63654","g63654",8
"g36048","g36048",6
"g67798","g67798",1
"g67791","g67791",0
"g67792","g67792",0
"g49887","g49887",3
"g57176","g57176",0
"g57172","g57172",1
"g25993","g25993",2
"g25994","g25994",2
"g25995","g25995",0
"g25997","g25997",2
"g45724","g45724",1
"g70218","g70218",1
"g60308","g60308",1
"g60306","g60306",0
"adi2mcaRNA13429_R0","adi2mcaRNA13429_R0",1
"g61659","g61659",3
"g20011","g20011",0
"g61653","g61653",0
"adi2mcaRNA12036_R0","adi2mcaRNA12036_R0",0
"g51633","g51633",2
"g27740","g27740",2
"g27746","g27746",1
"g51634","g51634",0
"g27744","g27744",0
